Match_id,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,BattingTeam_1
1185156,HK Matthews,B Cooper,CN Nation,SS Connell,SACA King,ASS Fletcher,K Ramharack,SR Taylor,NaN,NaN,NaN,West Indies
225245,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,SI Mahmood,SCJ Broad,D Gough,England
225246,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,D Gough,J Lewis,SCJ Broad,England
225247,ME Trescothick,IR Bell,AJ Strauss,KP Pietersen,PD Collingwood,JWM Dalrymple,R Clarke,CMW Read,J Lewis,SCJ Broad,SI Mahmood,England
225248,Mohammad Hafeez,Shahid Afridi,Younis Khan,Mohammad Yousuf,InzamamNaNulNaNHaq,Shoaib Malik,Abdul Razzaq,Kamran Akmal,Shoaib Akhtar,NavedNaNulNaNHasan,Mohammad Asif,Pakistan
225249,Mohammad Hafeez,Imran Farhat,Shahid Afridi,Younis Khan,Mohammad Yousuf,InzamamNaNulNaNHaq,Abdul Razzaq,Kamran Akmal,NavedNaNulNaNHasan,Iftikhar Anjum,Mohammad Asif,Pakistan
225252,ME Trescothick,AJ Strauss,IR Bell,KP Pietersen,PD Collingwood,JWM Dalrymple,GO Jones,LE Plunkett,AGR Loudon,SJ Harmison,SI Mahmood,England
225254,ME Trescothick,AN Cook,IR Bell,AJ Strauss,VS Solanki,JWM Dalrymple,GO Jones,TT Bresnan,LE Plunkett,Kabir Ali,SJ Harmison,England
226374,JR Hopes,DR Martyn,RT Ponting,A Symonds,MJ Clarke,NW Bracken,ML Lewis,SR Clark,NaN,NaN,NaN,Australia
226375,AC Gilchrist,RT Ponting,SM Katich,DR Martyn,A Symonds,MJ Clarke,MEK Hussey,B Lee,NW Bracken,SR Clark,GD McGrath,Australia
226376,DR Martyn,PA Jaques,RT Ponting,A Symonds,MJ Clarke,MEK Hussey,BJ Haddin,JR Hopes,B Lee,BR Dorey,GD McGrath,Australia
226377,AC Gilchrist,SM Katich,RT Ponting,DR Martyn,A Symonds,MJ Clarke,MEK Hussey,B Lee,SR Clark,BR Dorey,JR Hopes,Australia
226378,AC Gilchrist,SM Katich,RT Ponting,A Symonds,DR Martyn,MJ Clarke,MEK Hussey,B Lee,NW Bracken,SR Clark,JR Hopes,Australia
226380,J Mubarak,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,MS Atapattu,TM Dilshan,RP Arnold,WPUJC Vaas,PDRL Perera,KMDN Kulasekara,M Muralitharan,Sri Lanka
226381,J Mubarak,WU Tharanga,KC Sangakkara,DPMD Jayawardene,MS Atapattu,TM Dilshan,RP Arnold,WPUJC Vaas,WCA Ganegama,KMDN Kulasekara,M Muralitharan,Sri Lanka
226382,J Mubarak,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,RP Arnold,TM Dilshan,CK Kapugedera,WPUJC Vaas,KMDN Kulasekara,M Muralitharan,CRD Fernando,Sri Lanka
226383,WU Tharanga,J Mubarak,KC Sangakkara,TM Dilshan,MS Atapattu,DPMD Jayawardene,RP Arnold,WPUJC Vaas,PDRL Perera,KMDN Kulasekara,M Muralitharan,Sri Lanka
226384,GC Smith,HH Dippenaar,JJ van der Wath,JA Rudolph,HH Gibbs,SM Pollock,JM Kemp,CK Langeveldt,AJ Hall,J Botha,NaN,South Africa
226385,J Mubarak,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,MS Atapattu,RP Arnold,TM Dilshan,WPUJC Vaas,KMDN Kulasekara,HMCM Bandara,M Muralitharan,Sri Lanka
226386,MS Atapattu,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,J Mubarak,TM Dilshan,CK Kapugedera,WPUJC Vaas,M Muralitharan,CRD Fernando,PDRL Perera,Sri Lanka
226391,WU Tharanga,DA Gunawardene,KC Sangakkara,DPMD Jayawardene,MS Atapattu,TM Dilshan,MF Maharoof,RP Arnold,WPUJC Vaas,CRD Fernando,M Muralitharan,Sri Lanka
226392,L Vincent,JM How,SP Fleming,PG Fulton,HJH Marshall,SB Styris,CL Cairns,BB McCullum,DL Vettori,JEC Franklin,SE Bond,New Zealand
235831,V Sehwag,SR Tendulkar,IK Pathan,MS Dhoni,Yuvraj Singh,R Dravid,AB Agarkar,M Kaif,Z Khan,M Kartik,S Sreesanth,India
236520,Salman Butt,Shoaib Malik,Kamran Akmal,Mohammad Yousuf,InzamamNaNulNaNHaq,Younis Khan,Shahid Afridi,Abdul Razzaq,NavedNaNulNaNHasan,Umar Gul,Mohammad Asif,Pakistan
236595,AC Gilchrist,RT Ponting,SM Katich,DR Martyn,A Symonds,MJ Clarke,MEK Hussey,B Lee,NW Bracken,SR Clark,ML Lewis,Australia
236809,Salman Butt,Kamran Akmal,Shahid Afridi,Shoaib Malik,Mohammad Yousuf,InzamamNaNulNaNHaq,Younis Khan,Abdul Razzaq,NavedNaNulNaNHasan,Yasir Arafat,Mohammad Asif,Pakistan
236963,MS Atapattu,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,RP Arnold,TM Dilshan,CK Kapugedera,WPUJC Vaas,M Muralitharan,CRD Fernando,PDRL Perera,Sri Lanka
237222,Kamran Akmal,Salman Butt,Shoaib Malik,InzamamNaNulNaNHaq,Younis Khan,Mohammad Yousuf,Imran Farhat,Abdul Razzaq,NavedNaNulNaNHasan,Mohammad Sami,Mohammad Asif,Pakistan
237242,CH Gayle,D Ganga,RS Morton,DR Smith,WW Hinds,S Chanderpaul,DJ Bravo,D Ramdin,IDR Bradshaw,JE Taylor,DK Butler,West Indies
237568,JM How,NJ Astle,SP Fleming,SB Styris,BB McCullum,PG Fulton,JEC Franklin,HJH Marshall,SE Bond,DL Vettori,MJ Mason,New Zealand
237571,Kamran Akmal,Imran Farhat,Shoaib Malik,Mohammad Yousuf,InzamamNaNulNaNHaq,Younis Khan,Abdul Razzaq,Yasir Arafat,Mohammad Sami,Iftikhar Anjum,Mohammad Asif,Pakistan
237574,Rajin Saleh,Shahriar Nafees,Aftab Ahmed,Mohammad Ashraful,Habibul Bashar,Khaled Mashud,Khaled Mahmud,Mohammad Rafique,Alok Kapali,Mashrafe Mortaza,Syed Rasel,Bangladesh
238169,J Mubarak,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,TM Dilshan,KHRK Fernando,MF Maharoof,HMCM Bandara,CRD Fernando,PDRL Perera,Sri Lanka
238170,WU Tharanga,KC Sangakkara,ST Jayasuriya,DPMD Jayawardene,KS Lokuarachchi,TM Dilshan,MF Maharoof,CK Kapugedera,HMCM Bandara,PDRL Perera,KTGD Prasad,Sri Lanka
238173,Shahriar Nafees,Rajin Saleh,Aftab Ahmed,Mohammad Ashraful,Habibul Bashar,Tushar Imran,Khaled Mashud,Mohammad Rafique,Mashrafe Mortaza,Abdur Razzak,Syed Rasel,Bangladesh
